Category,Category_Type,Education,Salary,Real Salary
Education,Industry,University,1093.75,2562.225475841874
Health Care & Social Work,Industry,University,1250.0,2928.2576866764275
"Arts, Entertainment & Recreation",Industry,University,968.75,2269.3997071742315
Other Services,Industry,University,968.75,2269.3997071742315
All Employees,Total,Graduate School,1625.0,3806.734992679356
Male,Gender,Graduate School,1687.5,3953.147877013177
Female,Gender,Graduate School,1500.0,3513.909224011713
Small & Medium Enterprises,Enterprise Size,Graduate School,1312.5,3074.6705710102488
Large Enterprises & Others,Enterprise Size,Graduate School,1718.75,4026.3543191800877
"Agriculture, Forestry, Fishing & Animal Husbandry",Industry,Graduate School,1031.25,2415.8125915080527
Mining & Quarrying,Industry,Graduate School,,
Manufacturing,Industry,Graduate School,1812.5,4245.97364568082
Electricity & Gas Supply,Industry,Graduate School,1343.75,3147.8770131771594
Water Supply & Waste Management,Industry,Graduate School,1187.5,2781.8448023426063
Construction,Industry,Graduate School,1187.5,2781.8448023426063
Wholesale & Retail Trade,Industry,Graduate School,1406.25,3294.289897510981
Transportation & Storage,Industry,Graduate School,1250.0,2928.2576866764275
Accommodation & Food Service,Industry,Graduate School,1062.5,2489.0190336749633
"Publishing, Audio-Visual & Information Communication",Industry,Graduate School,1843.75,4319.180087847731
Finance & Insurance,Industry,Graduate School,1500.0,3513.909224011713
Real Estate,Industry,Graduate School,1125.0,2635.4319180087846
"Professional, Scientific & Technical Services",Industry,Graduate School,1468.75,3440.7027818448023
Administrative & Support Services,Industry,Graduate School,1250.0,2928.2576866764275
Public Administration & Defense; Compulsory Social Security,Industry,Graduate School,1406.25,3294.289897510981
Education,Industry,Graduate School,1468.75,3440.7027818448023
Health Care & Social Work,Industry,Graduate School,1312.5,3074.6705710102488
"Arts, Entertainment & Recreation",Industry,Graduate School,1062.5,2489.0190336749633
Other Services,Industry,Graduate School,1187.5,2781.8448023426063
